'ID'	'key'	'notes'
'OGG003'	'g119-t112-rl222-l218-l214-ra39-a80-a79-TN'	'Bach- oder Flussablagerung, Austufe größerer Gerinne, in kleinen Gerinnen auch wechsellagernd mit Solifluktions- und Flächenspülungssediment/mechanical_deposition/river_plain_system_setting'
'OGG005'	'g348-t112-rl169-ra39-a80-a79-TN'	'Vernässung, Anmoor, Niedermoor/organic_accumulation/bog'
'OGG008'	'g256-t112-rl226-l218-l222-ra39-a39-a39-TN'	'Schwemmfächer, Murkegel /mechanical_deposition/alluvial_fan'
'OGG009'	'g358-t112-rl226-l228-l240-ra39-a80-a178-TN'	'Murschuttdecke an der Flysch/Molassegrenze östlich von Kilb/mechanical_deposition/earth_surface_setting'
'OGG010'	'g354-t112-rl226-l218-l214-l213-ra39-a80-a39-TN'	'Hangschutt, Verwitterungslehm und -schutt in situ, Solifluktions- und Flächenspülungsediment (Auswahl)/mass_wasting_deposition/hillslope_setting'
'OGG011'	'g354-t112-rl226-ra39-a80-a39-TN'	'Hangschutt, Schuttkegel/mass_wasting_deposition/hillslope_setting'
'OGG012'	'g358-t112-rl228-l226-ra80-a80-a80-TN'	'Blockschutt, Felssturzmaterial/mass_wasting/hillslope_setting'
'OGG014'	'g358-t112-rl166-ra39-a80-a79-TN'	'Rutschmasse/mass_wasting/hillslope_setting'
'OGG015'	'g358-t112-rl166-ra39-a80-a79-TN'	'Instabiler Hangbereich mit Rutschtendenz auf jeweiligem Gesteinsuntergrund/mass_wasting/hillslope_setting'
'OGG017'	'g340-t112-rl240-l214-ra39-a79-a79-TN'	'Lehmiges Sediment, polygenetisch, z.T. auch Löss/mechanical_deposition/earth_surface_setting'
'OGG019'	'g339-t112-rl214-l240-l221-ra79-a79-a79-TN'	'Löss, untergeordnet Lösslehm (Silt, feinsandig, lokal mit Kristallinbruchstücken; Pleistozän - Holozän)/mechanical_deposition/aeolian_process_setting'
'OGG020'	'g266-t112-rl222-l218-ra39-a214-a216-TN'	'Höherer Terrassenkies bei Rabenstein, Meinburg und Aigelsbach (?Riss, ?Würm)/mechanical_deposition/glacier_related_setting'
'OGG022'	'g339-t112-rl214-l240-ra79-a79-a79-TN'	'Löss und Lösslehm über Kies des Älteren und Jüngeren Deckenschotters (gebildet bis Würm)/mechanical_deposition/aeolian_process_setting'
'OGG026'	'g430-t112-rl222-l218-ra39-a220-a220-TN'	'Kiesschleier im Niveau des Älteren Deckenschotters, z.T. hangabwärts verfrachtet (Günz)/mechanical_deposition/glacier_related_setting'
'OGG027'	'g258-t112-rl166-l222-l218-l214-ra39-a80-a79-TN'	'Kies aus Material der Flysch- und Klippenzone (ehemaliger Schwemmkegel des Zettelbaches mit Entwässerungsrichtung nach Nordost und Terrassen der Sierning und des Zettelbaches bei Kilb/mechanical_deposition/alluvial_fan'
